dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD
1035813.67979768691579312,6340.153025909639759015,3710079.5037242472770869475189201,2020-12-05 00:00:00,8246978.388924009702846353,50857.311418789480480036,60526871.17047929564878360060952394
1051999.938169031641344751,6389.075822404532119927,3800002.952399350415743738208954325,2020-12-06 00:00:00,8331536.154889663503782058,50311.091717866641794233,60470410.43329783477171566715139738
1245174.829446357527499722,7782.586741288565655465,4611826.063381729203352620908746576,2020-12-07 00:00:00,8109714.599200853755564516,51395.505045568689929823,60642330.40315754014848931644914738
1552011.688499900956018423,9464.128008944342463432,5426514.097842282013456130648695137,2020-12-08 00:00:00,8296361.137858116282480857,49166.852174924779347256,54409065.74697877656159867082571663
1627975.753188881348597466,9576.552923145146827692,5308578.620171845439613568942992948,2020-12-09 00:00:00,7846068.721557515289914786,45939.336625742449049865,52758364.69557974282900966442619494
1224877.46878983988668558,7083.720740323600233381,3979266.555798772958016531483554192,2020-12-10 00:00:00,7830601.192196505530144322,45347.154709222426857975,50675063.56833931481438345446862714
2037554.529322412672614397,11187.313400736763731083,6090296.699679857382643087223376855,2020-12-11 00:00:00,8118257.25662546153455408,44199.765472623314745319,48226234.41513146497862158528694573
853124.833713554857920394,4743.410214401061766099,2643072.466172969745162324762377691,2020-12-12 00:00:00,7994114.554929395363926395,43973.898779984384633279,49957042.26282798898363040386524012
742430.942740961744723167,4144.269444191005675261,2407205.592293261995943848679718999,2020-12-13 00:00:00,7807382.68517328194664492,44076.007447751223909888,51908177.18850360881221821060683333
943770.240412595328255558,5383.859155230460634665,3148868.508968583188666245032795008,2020-12-14 00:00:00,7603789.156171983526256422,45257.944145315958873976,53049828.42808143767998382197519153
1647998.446580975784520436,9494.305377401957091455,5581629.245367228051633370264942989,2020-12-15 00:00:00,7798269.854426040800791853,44204.86673022818912501,52009877.94211598240050812698746757
867154.443294861409635447,4852.063190224463506041,2948964.645978863397825968543108009,2020-12-16 00:00:00,7860170.610715474828008181,43548.774374060780128286,55397810.68657540151749027688385006
2447390.54667760407808259,14038.160573837057486433,9148047.899377028518466804219019014,2020-12-17 00:00:00,7875327.929796506420829524,45078.506413947310923478,57948363.72674452951804248671125402
1060066.561609150279657244,6091.619678225415394727,3934346.891391128118658512677096878,2020-12-18 00:00:00,7849012.759980633573531649,45264.170771845588268841,59036402.8830822427232670249741993
3893577.324655927871678875,24189.651410755438108521,15867499.92199901680503061704742576,2020-12-19 00:00:00,7734304.530512148953272294,46378.69357486538870499,61125844.16697942010358501314291049
1116675.884145466653117133,6706.389948096102676086,4343548.896822743037935194106894761,2020-12-20 00:00:00,7814787.940953557652744914,45919.986355131965645932,58569259.46493576627957804240109948
1659100.6010969403104261,9676.433053161319871193,6022389.93003945382301959742977177,2020-12-21 00:00:00,7810702.372215308300546008,45194.989663358569069188,55175636.98523591170588863727450647
