dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserve0,reserve1,reserveUSD,liquidityDepth,priceOfA,ratio,ratioChange,buy,sell,holdA,holdB,HoldAsB,HoldAsA,dailyROIA,dailyROIB,ROIAsB,TotROIA,TotROIB,TotROIAsB,1
67874.591084500609175213,631.132524297725857599,1506215.096757691770507171272952352,2021-06-17 00:00:00,2302043.563267021175389692,21466.734760422373474698,101795202.9545065064042133060485974,49417358579.59074,0.009325077554117676,5299404567179.123,1.95%,0,1.95%,107.23771402399005,1,2.0,107.24703910154417,1.9902197430965693,2.0033374694160067,3.987081783716856,1.2741470323910686e+82,1.319154364057433e+82,1.6807966182295055e+164,276
125000.051880875508065489,1160.146213817596850198,2626559.965014695899999702901186119,2021-06-18 00:00:00,2321487.990243316854007069,21202.886389573858083627,94409275.61650021992747312537173943,49222246111.88918,0.00913331728558784,5389306488843.953,-1.70%,-1.70%,0,109.48924347323141,1,2.0,109.498376790517,2.0084465938379985,1.9877089658118399,3.9922073019260402,2.5590562672546358e+82,2.6220949567267755e+82,6.710088532348428e+164,277
43598.914761475904789991,400.306601894730596157,890060.372739311518023366391928395,2021-06-19 00:00:00,2299784.584341874995494906,21056.127343354998226658,91454529.51453439168058122786580638,48424557070.187256,0.009155695488488802,5289009134376.53,1.86%,0,1.86%,109.22163163434955,1,2.0,109.23078732983804,1.9906510798278276,1.9930783458665786,3.9675235613807653,5.0941881217506106e+82,5.2260406790581e+82,2.6622434351043267e+165,278
153983.398022257985021242,1414.664423547420924552,3039115.805293660145716715790517798,2021-06-20 00:00:00,2285392.769069628130483232,21146.607141698351099747,94634368.34680439704967593503629486,48328303051.99357,0.009252942176021248,5223020108915.743,1.25%,0,1.25%,108.0737327626961,1,2.0,108.08298570487212,1.9937421029037965,2.0042970768968065,3.9960514689361712,1.0156497338446603e+83,1.0474538056779951e+83,1.0638461789514322e+166,279
236496.171198644502612157,2089.162713961619695672,4113163.741803437474017512344909245,2021-06-21 00:00:00,2384870.134629259922706955,20033.088374137174620766,75807580.25006166198210200410698179,47776314167.868385,0.008400075158495546,5687605559046.584,-8.89%,-8.89%,0,119.04655388572736,1,2.0,119.05495396088585,2.043527470160032,1.9473429113190712,3.979448733101933,2.0755081311722883e+83,2.0397517434212278e+83,4.233521329043609e+166,280
579462.712856195812869485,4810.552511931894060655,8951465.533333038714565407823573198,2021-06-22 00:00:00,2316838.071351430109121315,20231.685884923575152397,75637701.08073617474043553353128772,46873540105.814285,0.00873245572709459,5367738648863.413,5.62%,0,5.62%,114.51532435455177,1,2.0,114.52405681027886,1.971473472584533,2.0099134745016545,3.962491097170221,4.091809222739666e+83,4.0997245137405673e+83,1.6775290576015546e+167,281
206409.854148367181407646,1841.645734411594891258,3612408.318655147760377527011436536,2021-06-23 00:00:00,2277740.831457498510516677,20544.92576291810726335,80944784.36138752263426432203089373,46796016289.46167,0.00901986981098796,5188103295288.696,3.35%,0,3.35%,110.86634518624702,1,2.0,110.875365056058,1.9831247421313627,2.0154826384600977,3.9969534876664197,8.114568109696332e+83,8.26292357991338e+83,6.705005617442296e+167,282
153509.331323407792081369,1370.910168267604549306,2672348.222901937580112401258833783,2021-06-24 00:00:00,2270612.913184636564137233,20658.841198789733593826,82130518.08663067423861614490404834,46908231597.40275,0.009098354492230374,5155683001520.822,0.62%,0,0.62%,109.90998436628948,1,2.0,109.9190827207817,1.9968706192669425,2.005544699318273,4.004813285695214,1.6203742646293098e+84,1.6571662586567247e+84,2.685229557739395e+168,283
189696.012065470609771009,1681.022392792499261871,3175256.356064756333364109673440396,2021-06-25 00:00:00,2309503.442901313562811598,20301.667205306625446485,73744034.96865884729466142396800686,46886770307.29234,0.008790490123627032,5333806152773.021,-3.45%,-3.45%,0,113.75929964498856,1,2.0,113.76809013511219,2.017127767349007,1.9827108408430947,3.9993810916885035,3.2685019226815084e+84,3.28568150611808e+84,1.073925632006602e+169,284
282706.305709424179899024,2534.082136028139245182,4505734.63087754805603371746939572,2021-06-26 00:00:00,2299160.857929004574708173,20302.848823901714907437,74127722.39174750724958285165397556,46679515320.36474,0.008830547351171305,5286140650632.835,0.89%,0,0.89%,113.24326343908429,1,2.0,113.25209398643545,1.995521727839766,2.0000582030324474,3.991159601095407,6.522366604197e+84,6.571554248863473e+84,4.2862085970456017e+169,285
